ChessID	ChessName	ChessRank
201101	贾华	1
201201	贾华	1
201102	陆逊	2
201202	陆逊	2
201103	步练师	1
201203	步练师	1
201104	甘宁	2
201204	甘宁	2
201105	孙翎鸾	2
201205	孙翎鸾	2
201106	丁奉	3
201206	丁奉	3
201107	顾雍	3
201207	顾雍	3
201108	黄盖	3
201208	黄盖	3
201109	张昭	4
201209	张昭	4
201110	韩当	5
201210	韩当	5
201111	凌统	3
201211	凌统	3
201112	孙策	4
201212	孙策	4
201113	周瑜	4
201213	周瑜	4
201114	吕蒙	5
201214	吕蒙	5
201115	孙坚	4
201215	孙坚	4
201116	太史慈	6
201216	太史慈	6
201117	大乔	5
201217	大乔	5
201118	孙皓	6
201218	孙皓	6
201119	祖茂	6
201219	祖茂	6
201120	刀斧手	1
201220	刀斧手	1
201121	解烦卫	1
201221	解烦卫	1
201122	锦帆军	1
201222	锦帆军	1
201123	东吴水兵	1
201223	东吴水兵	1
202101	曹休	2
202201	曹休	2
202102	夏侯惇	1
202202	夏侯惇	1
202103	王异	2
202203	王异	2
202104	于禁	2
202204	于禁	2
202105	诸葛诞	2
202205	诸葛诞	2
202106	段巧笑	2
202206	段巧笑	2
202107	司马朗	3
202207	司马朗	3
202108	荀彧	3
202208	荀彧	3
202109	张郃	3
202209	张郃	3
202110	曹丕	6
202210	曹丕	6
202111	邓艾	4
202211	邓艾	4
202112	甄姬	4
202212	甄姬	4
202113	郭嘉	4
202213	郭嘉	4
202114	曹仁	5
202214	曹仁	5
202115	典韦	4
202215	典韦	4
202116	戏志才	5
202216	戏志才	5
202117	曹金玉	6
202217	曹金玉	6
202118	司马懿	5
202218	司马懿	5
202119	钟会	6
202219	钟会	6
202120	近卫	1
202220	近卫	1
202121	许褚	1
202221	许褚	1
202122	李典	2
202222	李典	2
202123	薛灵芸	3
202223	薛灵芸	3
202124	王双	3
202224	王双	3
203101	刘虞	1
203201	刘虞	1
203102	王粲	2
203202	王粲	2
203103	许贡	2
203203	许贡	2
203104	邹氏	2
203204	邹氏	2
203105	蔡邕	3
203205	蔡邕	3
203106	陈登	3
203206	陈登	3
203107	士燮	4
203207	士燮	4
203108	邢道荣	3
203208	邢道荣	3
203109	胡车儿	3
203209	胡车儿	3
203110	潘凤	4
203210	潘凤	4
203111	司马徽	4
203211	司马徽	4
203112	吴普	4
203212	吴普	4
203113	蔡文姬	5
203213	蔡文姬	5
203114	陈珪	5
203214	陈珪	5
203115	韩馥	5
203215	韩馥	5
203116	华佗	5
203216	华佗	5
203117	刘表	5
203217	刘表	5
203118	庞德公	5
203218	庞德公	5
203119	于吉	5
203219	于吉	5
203120	贾诩	6
203220	贾诩	6
203121	吕布	6
203221	吕布	6
203122	祢衡	5
203222	祢衡	5
203123	南华老仙	6
203223	南华老仙	6
203124	许劭	6
203224	许劭	6
203125	左慈	6
203225	左慈	6
203126	刺客	1
203226	刺客	1
204101	吴兰	1
204201	吴兰	1
204102	伊籍	1
204202	伊籍	1
204103	糜夫人	2
204203	糜夫人	2
204104	糜竺	2
204204	糜竺	2
204105	魏延	2
204205	魏延	2
204106	黄月英	3
204206	黄月英	3
204107	庞统	3
204207	庞统	3
204108	徐庶	3
204208	徐庶	3
204109	张星彩	3
204209	张星彩	3
204110	关平	5
204210	关平	5
204111	刘巴	4
204211	刘巴	4
204112	王平	4
204212	王平	4
204113	赵云	4
204213	赵云	4
204114	黄忠	4
204214	黄忠	4
204115	张飞	5
204215	张飞	5
204116	赵襄	5
204216	赵襄	5
204117	关羽	6
204217	关羽	6
204118	刘永	6
204218	刘永	6
204119	诸葛亮	6
204219	诸葛亮	6
204120	雷铜	1
204220	雷铜	1
205101	卢植	1
205201	卢植	1
205102	王子服	1
205202	王子服	1
205103	穆顺	2
205203	穆顺	2
205104	杨彪	3
205204	杨彪	3
205105	伏皇后	2
205205	伏皇后	2
205106	伏完	2
205206	伏完	2
205107	吉平	3
205207	吉平	3
205108	刘繇	3
205208	刘繇	3
205109	曹节	6
205209	曹节	6
205110	何进	4
205210	何进	4
205111	王荣	3
205211	王荣	3
205112	朱儁	4
205212	朱儁	4
205113	董承	6
205213	董承	6
205114	皇甫嵩	5
205214	皇甫嵩	5
205115	王允	4
205215	王允	4
205116	赵忠	4
