SpellID	SpellName	SpellTextRank
310001	兵贵神速	六
310002	草船借箭	五
310003	调虎离山	四
310004	洞烛先机	二
310005	洞烛先机	三
310006	洞烛先机	四
310007	斗转星移	四
310008	浮雷	四
310009	釜底抽薪	六
310010	关门捉贼	六
310011	过河拆桥	三
310012	过河拆桥	五
310013	浑水摸鱼	六
310014	火攻	四
310015	火攻	六
310016	火上浇油	三
310017	火上浇油	五
310018	借刀杀人	六
310019	借尸还魂	六
310020	金蝉脱壳	二
310021	金蝉脱壳	四
310022	酒	二
310023	酒	三
310024	酒	四
310025	酒	五
310026	酒	六
310027	决斗	三
310028	决斗	五
310029	苦肉计	三
310030	苦肉计	五
310031	乐不思蜀	四
310032	联军盛宴	六
310033	瞒天过海	六
310034	美人计	五
310035	南蛮入侵	二
310036	南蛮入侵	四
310037	抛砖引玉	四
310038	破釜沉舟	六
310039	破阵溃敌	三
310040	破阵溃敌	五
310041	齐心并力	三
310042	齐心并力	四
310043	齐心并力	五
310044	擒贼擒王	六
310045	撒豆成兵	五
310046	三顾茅庐	三
310047	三十六计	五
310048	闪电	五
310049	树上开花	五
310050	顺手牵羊	三
310051	顺手牵羊	五
310052	随机应变	六
310053	桃	二
310054	桃	三
310055	桃	四
310056	桃	五
310057	桃	六
310058	桃园结义	三
310059	桃园结义	四
310060	桃园结义	五
310061	天降神兵	五
310062	偷梁换柱	四
310063	偷梁换柱	六
310064	屯粮	二
310065	屯粮	四
310066	万箭齐发	六
310067	望梅止渴	六
310068	无懈可击	六
310069	无中生有	三
310070	无中生有	五
310071	五谷丰登	六
310072	先驱	二
310073	先驱	三
310074	先驱	四
310075	一马当先	四
310076	以逸待劳	五
310077	援军	三
310078	援军	五
310079	远交近攻	五
310080	增兵减灶	四
310081	鸩毒	六
310082	至死方休	六
310083	珠联璧合	二
310084	珠联璧合	三
310085	珠联璧合	四
310086	珠联璧合	五
310087	珠联璧合	六
310088	风调雨顺	六
310089	云行雨施	六
310090	海晏河清	六
310091	苦肉计	四
